name,Total_value,Total_weight,is_optimal,solution_time
0-50-0-78,19828,11319,True,4e-05
0-50-1-7,167509,128059,True,6e-05
0-100-0-37,40216,24445,True,1e-05
0-100-1-57,413391,228211,True,1e-05
0-200-0-30,80980,47518,True,0.0001
0-200-1-88,800831,499506,True,6e-05
0-500-0-82,204101,119457,True,0.00014
0-500-1-93,2053851,1260030,True,3e-05
0-1000-0-7,394138,248175,True,6e-05
0-1000-1-47,4105678,2446649,True,0.00055
0-2000-0-41,814596,494694,True,0.00078
0-2000-1-53,8095086,4962007,True,0.00169
0-5000-0-2,2024515,1224942,True,0.00252
0-5000-1-24,20661257,11912743,True,0.00107
0-10000-0-2,4033221,2485169,True,0.00597
0-10000-1-53,40411502,25020666,True,0.04527
1-50-0-7,11884,10472,True,0.0
1-50-1-61,123442,111684,True,3e-05
1-100-0-7,25754,23302,True,0.0002
1-100-1-70,272515,250446,True,0.00068
1-200-0-32,52981,48337,True,0.00054
1-200-1-64,532551,479587,True,0.0003
1-500-0-66,136652,124024,True,0.00055
1-500-1-86,1371169,1239011,True,0.00172
1-1000-0-60,273709,246922,True,0.00038
1-1000-1-63,2671314,2401541,True,0.00389
1-2000-0-68,552316,500138,True,0.00083
1-2000-1-61,5396069,4880244,True,0.00397
1-5000-0-24,1383536,1262935,True,1.75365
1-5000-1-6,13734560,12460774,True,0.00268
1-10000-0-98,2736372,2475532,True,0.00128
1-10000-1-86,27446920,24783432,True,0.01305
2-50-0-84,15205,11705,True,0.00051
2-50-1-42,146568,111568,True,0.54215
2-100-0-46,29662,22362,True,1e-05
2-100-1-55,313893,245893,True,7.04137
2-200-0-11,63917,49817,False,30.01674
2-200-1-85,628615,487615,False,30.01173
2-500-0-26,155009,119309,False,30.63866
2-500-1-18,1605341,1255341,False,30.00278
2-1000-0-13,313797,243197,True,2e-05
2-1000-1-23,3182323,2481323,False,30.00365
2-2000-0-20,631201,489701,False,30.00193
2-2000-1-78,6449021,5050021,False,30.00223
